X,Y,OBJECTID,NoticeNum,DateNotice,NT,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,Year
1410403.776,587848.3246,749408,1812233A,2019/07/08 22:04:00+00,Vacant,I,9,CARROLLTON RIDGE,0695 088,531 S CATHERINE ST,2019
1411047.413,588343.2356,749415,2082381A,2022/02/24 16:25:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 004,506 S SMALLWOOD ST,2022
1411063.794,588305.3492,749418,1970902A,2021/02/12 16:32:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 007,512 S SMALLWOOD ST,2021
1411136.699,588134.841,749429,1624981A,2017/12/24 01:53:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 018,536 S SMALLWOOD ST,2017
1411068.178,588043.0128,749439,1721823A,2018/09/13 12:30:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 028,2218 WILKENS AVE,2018
1410873.627,587960.18,749454,1874558A,2020/04/06 13:21:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 043,2248 WILKENS AVE,2020
1410871.259,588033.711,749456,1883810A,2020/03/04 14:54:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 045,533 S BENTALOU ST,2020
1410861.729,588055.7346,749458,2097651A,2022/04/14 16:27:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 047,529 S BENTALOU ST,2022
1410856.955,588066.7503,749459,1543906A,2017/08/06 19:50:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 048,527 S BENTALOU ST,2017
1410829.696,588129.7876,749461,1861225A,2020/01/02 15:38:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 050,523 S BENTALOU ST,2020
1410791.539,588218.0997,749468,1647461A,2018/03/11 15:58:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 057,509 S BENTALOU ST,2018
1410785.655,588230.558,749469,1849663A,2019/10/06 08:19:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 058,507 S BENTALOU ST,2019
1410775.004,588256.0655,749471,1956386A,2021/01/07 10:58:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 060,503 S BENTALOU ST,2021
1410931.015,588304.2751,749481,1896254A,2020/05/07 14:28:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 070,2211 ASHTON ST,2020
1411003.152,588226.6604,749493,2074598A,2022/01/21 13:53:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 081,2206 CHRISTIAN ST,2022
